Experiment_Index,runtime,accpt_rate,bias,bias_1,bias_2,ci_length_1,ci_length_2,low_1,high_1,low_2,high_2
0,00:05:19,0.000599,0.02017834,0.014551431,0.013979316,0.07109898,0.07272975,0.3793207,0.4504197,0.12173514,0.19446489
1,00:06:57,0.000444,0.002590102,0.001144737,0.002323404,0.041451603,0.05074825,0.37892345,0.42037505,0.1239882,0.17473646
2,00:05:47,0.00077,0.00246157,0.001015693,0.0022422522,0.04975593,0.06250989,0.37528437,0.4250403,0.114299305,0.17680919
3,00:05:02,0.001196,0.020825878,0.018969417,0.008595258,0.103402495,0.073636934,0.3575156,0.4609181,0.11592117,0.1895581
4,00:04:49,0.001158,0.010610261,0.010609299,0.00014285743,0.10314855,0.073795184,0.3578637,0.46101224,0.116283074,0.19007826
5,00:04:51,0.00131,0.0037907753,0.0016302466,0.00342232,0.06994915,0.07077863,0.36669624,0.4366454,0.11419887,0.1849775
6,00:05:17,0.001532,0.005463213,0.003892541,0.0038333833,0.07006988,0.064346045,0.36764884,0.43771872,0.111434296,0.17578034
7,00:05:15,0.001822,0.014664991,0.013159931,0.006471336,0.08652881,0.07948602,0.34493923,0.43146804,0.106215246,0.18570127
8,00:04:07,0.001253,0.0031354455,0.0027024448,0.0015899092,0.065279245,0.08124996,0.36534372,0.43062297,0.10235717,0.18360713
9,00:04:03,0.000801,0.01049257,0.0062230825,0.008447915,0.06730673,0.07716024,0.35803288,0.4253396,0.100702465,0.1778627
