Experiment_Index,ci_length_1,ci_length_2,ci_length_refined_1,ci_length_refined_2,low_Y0_1,high_Y0_1,low_Y0_2,high_Y0_2,low_Y0_refined_1,high_Y0_refined_1,low_Y0_refined_2,high_Y0_refined_2
0,0.046495765,0.051880747,0.026039243,0.031917885,0.4201278,0.46662357,0.19906387,0.2509446,0.38683712,0.41287637,0.1319079,0.16382578
1,0.068923354,0.05710244,0.036107063,0.04449498,0.42195603,0.4908794,0.19223204,0.24933448,0.3760842,0.41219127,0.12060208,0.16509706
2,0.037379175,0.09859112,0.024926811,0.032576784,0.40115756,0.43853673,0.12547961,0.22407073,0.38656047,0.41148728,0.13305138,0.16562817
3,0.061222404,0.058494598,0.021790922,0.025502548,0.392616,0.4538384,0.166191,0.2246856,0.38968447,0.4114754,0.13469574,0.16019829
4,0.048681587,0.06066768,0.027653217,0.029683188,0.44215024,0.49083182,0.17757398,0.23824166,0.38575584,0.41340905,0.13228256,0.16196574
5,0.043376863,0.0640226,0.023016125,0.032883152,0.41659757,0.45997444,0.1860955,0.2501181,0.38854662,0.41156274,0.13291,0.16579315
6,0.083510876,0.07596335,0.028202593,0.037382662,0.41692805,0.5004389,0.19980502,0.27576837,0.38698342,0.41518602,0.13172793,0.1691106
7,0.060738623,0.054083988,0.022925138,0.033129886,0.4062368,0.46697542,0.20604922,0.2601332,0.38907325,0.4119984,0.1323415,0.16547139
8,0.06498918,0.055581957,0.023765653,0.02331692,0.39452347,0.45951265,0.17578831,0.23137027,0.3876567,0.41142234,0.13569313,0.15901005
9,0.08008894,0.09302093,0.021248281,0.025112152,0.3843825,0.46447143,0.15558787,0.2486088,0.38721424,0.40846252,0.13387538,0.15898754
