Experiment_Index,train_time,refined_time,bias,refined_bias,bias_1,bias_2,refined_bias_1,refined_bias_2,mcmc_accp_rate
0,00:08:30,00:03:19,0.10564062,0.0010836134,0.06096831,0.0862717,0.00052928925,0.0009455532,0.05188
1,00:08:26,00:03:18,0.12848909,0.0056504295,0.09198347,0.089713365,0.004942298,0.0027388036,0.05693
2,00:07:34,00:03:19,0.12244371,0.002955289,0.09044841,0.08253211,0.0027531683,0.0010741502,0.04745
3,00:08:32,00:03:18,0.06394367,0.002347064,0.032784164,0.054899827,0.0021153092,0.0010169446,0.04254
4,00:07:20,00:03:18,0.097743906,0.003571798,0.06182462,0.07570726,0.0035715401,4.2930245e-05,0.04687
5,00:08:15,00:03:19,0.12883842,0.0023642546,0.07630485,0.10381189,0.002364248,5.543232e-06,0.0449
6,00:07:56,00:03:17,0.08097278,0.00080708845,0.042659044,0.068824396,0.0008069277,1.6108155e-05,0.03965
7,00:07:37,00:03:18,0.1239327,0.0012674315,0.09129137,0.08381647,0.0012547076,0.00017914176,0.04878
8,00:07:16,00:03:16,0.06771476,0.0010606169,0.03662768,0.056953505,0.00088754296,0.00058066845,0.0333
9,00:07:42,00:03:20,0.070598975,0.0011414543,0.030796617,0.06352782,0.00027418137,0.0011080354,0.04513
