Experiment_Index,run_time,bias,bias_1,bias_2,acceptance_rate
0,02:56:02,0.032111248394704944,0.02676314863790641,0.017744468108449152,0.000612
1,02:54:40,0.050209819480427326,0.04073548017150769,0.029353817936578597,0.001249
2,02:55:07,0.05070127186762443,0.04140090076433056,0.029267462905021635,0.001389
3,02:53:11,0.03246844303266088,0.026737664494023816,0.018420018739680022,0.000825
4,02:54:01,0.03973356463592046,0.03249384914668413,0.022867136381921643,0.001155
5,02:54:03,0.038031203591444525,0.031030616959785984,0.0219880253253662,0.00071
6,02:52:24,0.04459914154340056,0.036642798688465705,0.02542417610631373,0.001216
7,02:52:24,0.0498613313027452,0.04072175126399008,0.028773100863060286,0.001659
8,02:53:12,0.022433209902941256,0.019210250442652455,0.011585127728255429,0.000542
9,02:52:04,0.03214768500805739,0.02673702476674411,0.01784951422307593,0.000531
