Experiment_Index,train_time,refined_time,mmd_bf,mmd_bf_r,accp_rate
1,00:25:06,00:03:17,0.007676631,0.005471468,0.11908
2,00:26:02,00:03:14,0.029050082,0.025195003,0.15311
3,00:25:13,00:03:09,0.019283786,0.009517521,0.09336
4,00:25:42,00:03:08,0.019435242,0.008733705,0.15522
5,00:25:46,00:03:14,0.031709,0.03131461,0.10265
6,00:25:53,00:03:09,0.033375874,0.020448893,0.11348
7,00:25:51,00:03:10,0.028649136,0.010161504,0.1827
8,00:25:49,00:03:10,0.024740472,0.014006853,0.17079
9,00:25:55,00:03:13,0.015238851,0.016039327,0.17625
10,00:26:24,00:03:07,0.035676643,0.029786661,0.16193
