Experiment_Index,train_time,refined_time,mmd_nn,mmd_nn_r,accp_rate
1,00:05:53,00:03:17,0.047819436,0.012367114,0.10763897
2,00:05:37,00:03:07,0.05910708,0.029273495,0.046489973
3,00:05:44,00:03:12,0.03366494,0.014175251,0.087197706
4,00:05:41,00:03:12,0.032918304,0.015600696,0.036584526
5,00:05:45,00:03:08,0.066623926,0.01877816,0.1297851
6,00:06:04,00:03:13,0.043388918,0.025802955,0.084799424
7,00:04:11,00:03:09,0.017573252,0.0106147975,0.08041547
8,00:03:52,00:03:12,0.027009279,0.011223465,0.12683955
9,00:05:22,00:03:11,0.051728234,0.015539736,0.08092263
10,00:06:08,00:03:06,0.0475294,0.013902053,0.11907163
