Experiment_Index,train_time,refined_time,mmd_bf,mmd_bf_r,accp_rate
1,00:25:22,00:03:09,0.029288545,0.013453856,0.1364
2,00:24:59,00:03:08,0.047341004,0.029831573,0.11923
3,00:25:11,00:03:05,0.015870765,0.018548355,0.1609
4,00:25:56,00:03:14,0.008432925,0.00464195,0.07301
5,00:25:57,00:03:13,0.04442711,0.022030741,0.10801
6,00:25:44,00:03:07,0.0054421574,0.015100792,0.14073
7,00:25:28,00:03:08,0.013640836,0.0049348176,0.13016
8,00:26:18,00:03:04,0.07276356,0.053394914,0.10564
9,00:26:06,00:03:09,0.020559356,0.027949229,0.16875
10,00:26:06,00:03:12,0.014428139,0.010562435,0.18181
