Experiment_Index,train_time,refined_time,mmd_bf,mmd_bf_r,accp_rate
1,00:25:16,00:04:04,0.021690518,0.0076865405,0.19225
2,00:26:25,00:03:55,0.027557433,0.016584754,0.18978
3,00:26:43,00:03:50,0.019542411,0.012358218,0.21784
4,00:25:29,00:03:56,0.03674014,0.030435815,0.17581
5,00:25:26,00:04:03,0.04921481,0.036267206,0.17235
6,00:25:38,00:04:20,0.016738564,0.0066159815,0.22788
7,00:25:25,00:03:51,0.03565742,0.02787663,0.22931
8,00:25:31,00:03:55,0.0175457,0.02195768,0.15729
9,00:25:46,00:03:49,0.101444736,0.10172764,0.22245
10,00:25:13,00:03:51,0.024824545,0.016803592,0.23185
