Experiment_Index,train_time,refined_time,mmd_nn,mmd_nn_r,accp_rate
1,00:05:42,00:03:57,0.034104764,0.012547493,0.18474445
2,00:05:46,00:03:55,0.031996727,0.013871938,0.3302089
3,00:05:49,00:04:00,0.052089572,0.024020746,0.18642889
4,00:05:34,00:03:56,0.032555595,0.013040602,0.20660222
5,00:05:57,00:04:02,0.08172104,0.04795523,0.21262445
6,00:06:03,00:04:30,0.023013443,0.014759734,0.2020311
7,00:05:28,00:03:58,0.031815067,0.012743056,0.25153112
8,00:04:53,00:03:57,0.06917024,0.017526314,0.27776
9,00:05:25,00:03:56,0.022731155,0.007588342,0.11255111
10,00:05:59,00:03:57,0.015410721,0.011911899,0.23707333
