Experiment_Index,train_time,refined_time,mmd_nn,mmd_nn_r,accp_rate
1,00:05:18,00:03:53,0.04207489,0.029662177,0.42145112
2,00:04:04,00:03:59,0.01930894,0.011373818,0.21323112
3,00:03:41,00:03:59,0.053379267,0.025416791,0.21444222
4,00:04:19,00:04:03,0.02651672,0.018633664,0.26027778
5,00:05:15,00:04:04,0.043906227,0.015202627,0.23332
6,00:05:30,00:03:56,0.050464466,0.017881244,0.18873556
7,00:05:43,00:03:54,0.03476198,0.024280638,0.1575
8,00:04:23,00:03:52,0.04751256,0.024084672,0.28001332
9,00:05:13,00:03:52,0.037799373,0.0076021403,0.22805111
10,00:04:46,00:03:57,0.03532,0.017793566,0.3343489
