Experiment_Index,train_time,refined_time,bias,refined_bias,bias_1,bias_2,refined_bias_1,refined_bias_2,mcmc_accp_rate
0,00:08:49,00:03:16,0.08383551,0.00092576223,0.0458816,0.07016604,0.000461936,0.0008022785,0.02296
1,00:08:18,00:03:16,0.10324817,0.005485103,0.067809284,0.0778594,0.0031309426,0.004503727,0.0272
2,00:07:52,00:03:15,0.04992926,0.0007695471,0.020964801,0.04531455,0.00015637279,0.0007534921,0.02235
3,00:07:50,00:03:19,0.052969158,0.00222879,0.029009223,0.044319257,0.00053599477,0.0021633804,0.02411
4,00:08:09,00:03:18,0.08594883,0.0014574877,0.06128645,0.060259223,0.0004132688,0.0013976693,0.02626
5,00:07:57,00:03:16,0.07649827,0.00014414353,0.035447866,0.06778963,5.9753656e-05,0.00013117492,0.02605
6,00:08:56,00:03:15,0.093302935,0.001628491,0.048075855,0.07996343,0.001283586,0.0010021925,0.02732
7,00:07:49,00:03:09,0.09102352,0.00076016155,0.04270625,0.08038318,0.00055354834,0.0005209893,0.03109
8,00:06:25,00:03:15,0.061110098,0.002263626,0.02631712,0.055152997,0.00036138296,0.002234593,0.02344
9,00:07:18,00:03:15,0.048398945,0.0033250044,0.022596389,0.042800248,0.0011976361,0.0031018257,0.02553
