Experiment_Index,ci_length_1,ci_length_2,ci_length_refined_1,ci_length_refined_2,low_Y0_1,high_Y0_1,low_Y0_2,high_Y0_2,low_Y0_refined_1,high_Y0_refined_1,low_Y0_refined_2,high_Y0_refined_2
0,0.059016496,0.08813134,0.024276495,0.031931818,0.41962594,0.47864243,0.16680345,0.2549348,0.38632947,0.41060597,0.13436516,0.16629697
1,0.07095215,0.08695009,0.02451536,0.031945974,0.40792963,0.47888178,0.16000825,0.24695835,0.38821122,0.41272658,0.13341597,0.16536194
2,0.08696848,0.069828376,0.039159864,0.051006064,0.4121529,0.49912137,0.18702652,0.2568549,0.38502607,0.42418593,0.12982447,0.18083054
3,0.08044425,0.08840759,0.024033785,0.030312777,0.37943956,0.4598838,0.14003679,0.22844438,0.38774505,0.41177884,0.13261151,0.16292429
4,0.087192714,0.09056449,0.035791695,0.047031328,0.4080084,0.4952011,0.18239832,0.2729628,0.38206097,0.41785267,0.12269564,0.16972697
5,0.07223669,0.06349179,0.020326704,0.022500172,0.373413,0.44564968,0.1278341,0.19132589,0.38961542,0.40994212,0.138659,0.16115917
6,0.0833464,0.083839834,0.019963294,0.02711083,0.39337352,0.47671992,0.17116082,0.25500065,0.3893022,0.4092655,0.13460633,0.16171716
7,0.11840859,0.10932793,0.022680283,0.030490935,0.3391409,0.45754948,0.11733563,0.22666356,0.38869762,0.4113779,0.13267092,0.16316186
8,0.06251189,0.08350071,0.032293677,0.046496496,0.40757847,0.47009036,0.186614,0.27011472,0.38522997,0.41752365,0.12704611,0.1735426
9,0.08044532,0.079217464,0.12178075,0.14725848,0.43114468,0.51159,0.20198312,0.2812006,0.38612747,0.5079082,0.1312951,0.27855358
