Experiment_Index,train_time,refined_time,bias,refined_bias,bias_1,bias_2,refined_bias_1,refined_bias_2,mcmc_accp_rate
0,00:07:48,00:03:15,0.078250915,0.001362162,0.044989347,0.06402472,0.0010831356,0.00082601607,0.02536
1,00:07:15,00:03:13,0.07407466,0.00068666553,0.046391577,0.057748392,0.0006265342,0.0002810061,0.02263
2,00:08:30,00:03:11,0.09269712,0.006756156,0.059320033,0.071231246,0.0045825243,0.0049644858,0.02178
3,00:08:00,00:03:12,0.04639622,0.0015823846,0.01377666,0.04430364,0.00028511882,0.0015564859,0.02173
4,00:08:29,00:03:07,0.0947292,0.001936981,0.05440283,0.07754968,0.0014518201,0.00128223,0.02796
5,00:07:08,00:03:15,0.007938466,0.0006630218,0.0010279715,0.007871628,0.00061681867,0.00024317205,0.01642
6,00:07:24,00:03:17,0.0655342,0.0020984805,0.024302065,0.060861647,0.00058826804,0.002014339,0.02027
7,00:07:03,00:03:15,0.013552119,0.0016832844,0.0073598027,0.01137951,0.0006314814,0.0015603453,0.01881
8,00:07:53,00:03:15,0.09556112,0.00089846674,0.040329903,0.08663386,0.00082951784,0.0003451705,0.02049
9,00:07:19,00:03:17,0.12157629,0.009250962,0.07405639,0.09641807,0.0060136914,0.0070296377,0.02346
