Experiment_Index,runtime,accpt_rate,bias,bias_1,bias_2,ci_length_1,ci_length_2,low_1,high_1,low_2,high_2
0,00:06:39,0.008256,0.005692788,0.0039085746,0.0041389465,0.108638674,0.105218455,0.3511886,0.45982727,0.09819171,0.20341016
1,00:06:34,0.010346,0.0057074204,0.0026217103,0.0050696433,0.12359434,0.12417726,0.33689088,0.46048522,0.077397704,0.20157497
2,00:04:46,0.011218,0.006959814,0.0052863657,0.004526958,0.103352994,0.14404826,0.34506294,0.44841594,0.07819292,0.22224118
3,00:04:30,0.012642,0.017808223,0.012679577,0.0125044435,0.11483732,0.13884668,0.33313596,0.44797328,0.06053138,0.19937806
4,00:03:56,0.010404,0.010820642,0.0066025853,0.008572757,0.12311491,0.114333265,0.34712088,0.4702358,0.08086268,0.19519594
5,00:04:26,0.011986,0.011852113,0.010341316,0.005790487,0.14356747,0.11572738,0.34148487,0.48505235,0.09540878,0.21113616
6,00:04:49,0.00877,0.01456853,0.007794678,0.012307927,0.106842846,0.13212453,0.34026057,0.4471034,0.07044399,0.20256852
7,00:04:10,0.009702,0.0048612,0.001840204,0.0044994354,0.12138939,0.12617886,0.34579664,0.46718603,0.077517495,0.20369636
8,00:04:18,0.010056,0.006178719,0.0019236505,0.0058716387,0.10493255,0.15346038,0.34826136,0.4531939,0.07463305,0.22809343
9,00:04:18,0.012132,0.01719824,0.011391073,0.012884989,0.1324043,0.13102803,0.35069275,0.48309705,0.093955375,0.22498341
