,model,benchmark,mean_bias,refined_mean_bias,median_bias,refined_median_bias,,,,,,,,SIR MMD,,,LV MMD,,,Toy 25,,,Toy 100
0,nn_prior,lv,0.146893214,0.018061663,0.14778767,0.009960976,,,,,,,,bias,refined_bias,,bias,refined_bias,,mmd_nn,mmd_nn_r,,
,MMD,lv,0.141849966,0.013276947,0.14638136,0.013398532,,,,,,,,0.078250915,0.001362162,,0.21807133,0.02741501,,0.04207489,0.029662177,,
1,bf,lv,0.166158523,0.02015838,0.16004461,0.008621209,,,,,,,,0.07407466,0.000686666,,0.09759745,0.014276126,,0.01930894,0.011373818,,
2,dnnabc,lv,0.376548936,,0.34573631,,,,,,,,,0.09269712,0.006756156,,0.22641492,0.010834455,,0.053379267,0.025416791,,
3,w2,lv,4.22965433,,4.306189668,,,,,,,,,0.04639622,0.001582385,,0.14679912,0.005872659,,0.02651672,0.018633664,,
4,nn,sir,0.099031863,0.002224904,0.101692263,0.001807248,,,,,,,,0.0947292,0.001936981,,0.12086679,0.013506233,,0.043906227,0.015202627,,
,MMD,sir,0.069031031,0.002691856,0.076162788,0.001632835,,,,,,,,0.007938466,0.000663022,,0.1459636,0.013290831,,0.050464466,0.017881244,,
5,bf,sir,0.004113871,0.003209313,0.003667851,0.003076786,,,,,,,,0.0655342,0.002098481,,0.080100216,0.008660491,,0.03476198,0.024280638,,
6,dnnabc,sir,0.009421315,,0.007977892,,,,,,,,,0.013552119,0.001683284,,0.14840128,0.005737396,,0.04751256,0.024084672,,
7,w2,sir,0.039229692,,0.038882384,,,,,,,,,0.09556112,0.000898467,,0.06273514,0.015496909,,0.037799373,0.00760214,,
,,,,,,,,,,,,,,0.12157629,0.009250962,,0.17154981,0.017679365,,0.03532,0.017793566,,
,,,,,,,,,,,,,,,,,,,,,,,
,model,benchmark,mean_bias,refined_mean_bias,median_bias,refined_median_bias,,,,,,,,0.069031031,0.002691856,,0.141849966,0.013276947,,0.039104442,0.019193134,,
0,nn_prior,lv,1.47,0.18,1.48,0.1,,,,,,,,0.076162788,0.001632835,,0.14638136,0.013398532,,0.039937132,0.018257454,,
,MMD,lv,1.42,0.13,1.46,0.13,,,,,,,,,,,,,,,,,
1,bf,lv,1.66,0.2,1.6,0.09,,,,,,,,,,,,,,,,,
2,dnnabc,lv,3.77,0,3.46,0,,,,,,,,,,,,,,,,,
3,w2,lv,42.3,0,43.06,0,,,,,,,,,,,,,,,,,
4,nn,sir,7.46,0.19,8.02,0.15,,,,,,,,,,,,,,,,,
,MMD,sir,6.9,0.27,7.62,0.16,,,,,,,,,,,,,,,,,
5,bf,sir,0.41,0.32,0.37,0.31,,,,,,,,,,,,,,,,,
6,dnnabc,sir,1.08,0,0.92,0,,,,,,,,,,,,,,,,,
7,w2,sir,4.54,0,4.22,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Toy Example,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,50,,,,,,,,,
,model,benchmark,mean_mmd,refined_mean_mmd,median_mmd,refined_median_mmd,,,,,,,,,model,benchmark,mean_mmd,refined_mean_mmd,median_mmd,refined_median_mmd,,,
0,nn,toy_example,3.43,1.39,3.04,1.26,0,,,,,,,0,nn,toy_example,0.034272401,0.013908406,0.030438498,0.012602248,,,
1,bf,toy_example,2.45,1.71,2.67,1.5,0,,,,,,,1,bf,toy_example,0.024483591,0.017067577,0.026694831,0.015023101,,,
2,dnnabc,toy_example,12.47,0,12.46,0,0,,,,,,,2,dnnabc,toy_example,0.12465139,,0.124554287,,,,
3,w2abc,toy_example,10.73,0,10.94,0,0,,,,,,,3,w2abc,toy_example,0.107278136,,0.109426498,,,,
4,mmd,toy_example,3.91,1.82,3.51,1.76,0,,,,,,,4,mmd,toy_example,0.039051432,0.018197851,0.035105388,0.017577164,,,
,,,,,,,,,,,,,,25,,,,,,,,,
model,benchmark,mean_mmd,refined_mean_mmd,median_mmd,refined_median_mmd,,,,,,,,,model,benchmark,mean_mmd,refined_mean_mmd,median_mmd,refined_median_mmd,,,,
nn,toy_example,4.15,2.26,3.41,1.99,0,,,,,,,,nn,toy_example,0.041478413,0.022568678,0.034130133,0.01992182,,,,
bf,toy_example,3.84,3.31,2.66,2.21,0,,,,,,,,bf,toy_example,0.038437285,0.033082539,0.026649147,0.022077893,,,,
dnnabc,toy_example,12.57,0,12.49,0,0,,,,,,,,dnnabc,toy_example,0.125748527,,0.124875543,,,,,
w2abc,toy_example,10,0,9.98,0,0,,,,,,,,w2abc,toy_example,0.099999226,,0.099835067,,,,,
mmd,toy_example,3.91,1.92,3.99,1.83,0,,,,,,,,mmd,toy_example,0.039104442,0.019193134,0.039937132,0.018257454,,,,
,,,,,,,,,,,,,,100,,,,,,,,,
model,benchmark,mean_mmd,refined_mean_mmd,median_mmd,refined_median_mmd,,,,,,,,,model,benchmark,mean_mmd,refined_mean_mmd,median_mmd,refined_median_mmd,,,,
nn,toy_example,6.26,2.52,6.19,2.4,0,,,,,,,,nn,toy_example,0.062626861,0.025217195,0.061864151,0.023988832,,,,
bf,toy_example,5.5,3.47,5.21,3.02,0,,,,,,,,bf,toy_example,0.05495671,0.034709163,0.052129176,0.030222181,,,,
dnnabc,toy_example,13.76,0,13.66,0,0,,,,,,,,dnnabc,toy_example,0.137600904,,0.136639565,,,,,
w2abc,toy_example,13.12,0,13.27,0,0,,,,,,,,w2abc,toy_example,0.131238866,,0.13272292,,,,,
