Experiment_Index,run_time,bias,acceptance_rate,bias_theta1,bias_theta2,bias_theta3,bias_theta4
0,00:44:41,5.285410805123832,0.00089,1.7399130143874344,2.260582726368718,0.6290671138356749,4.404805374226973
1,00:46:24,4.673348634042136,0.001078,1.471387117352127,1.9669888939922218,0.5505964739683924,3.9373856326195087
2,00:46:12,3.939030702054587,0.001198,1.3214176616130295,1.6839925998825698,0.4215379178744159,3.2796787865034367
3,00:44:38,3.856018420881214,0.001506,1.1955737464713123,1.698420832176514,0.4201041877145846,3.2215463099600647
4,00:46:13,3.350864766256521,0.001522,1.0840560457589021,1.3990432943432447,0.3801338558477235,2.819803766857631
5,00:45:56,4.986029135967138,0.00094,1.6549366235467158,2.1294162853500973,0.5896339269038549,4.15205845728197
6,00:46:03,2.897201765587036,0.001866,0.9132395840347726,1.3521381888197848,0.3241776923727508,2.3720039365008785
7,00:46:01,5.3482091940878735,0.00091,1.7417663898921458,2.18551689818627,0.6462375870091746,4.513921166308398
8,00:45:59,4.890777301629219,0.000946,1.6078211545472916,2.093332583258053,0.546265164027748,4.080951704634803
9,00:45:51,3.069652570470324,0.00179,0.9652390982164737,1.381439928172297,0.37296330916044307,2.5384251971528973
