Experiment_Index,ci_lengths_1,ci_lengths_2,ci_lengths_3,ci_lengths_4,ci_lengths_refined_1,ci_lengths_refined_2,ci_lengths_refined_3,ci_lengths_refined_4,low_Y0_1,high_Y0_1,low_Y0_2,high_Y0_2,low_Y0_3,high_Y0_3,low_Y0_4,high_Y0_4,low_Y0_refined_1,high_Y0_refined_1,low_Y0_refined_2,high_Y0_refined_2,low_Y0_refined_3,high_Y0_refined_3,low_Y0_refined_4,high_Y0_refined_4
0,0.14124718,0.31110764,0.10314357,0.37377596,0.089065865,0.12609196,0.058618605,0.15801096,-0.12818968,0.013057502,-4.6971574,-4.3860497,-0.74047476,-0.6373312,-4.7068586,-4.3330827,-0.043970417,0.045095444,-4.674995,-4.548903,-0.720883,-0.6622644,-4.672319,-4.514308
1,0.12555577,0.3289194,0.11449087,0.42842817,0.08796371,0.140203,0.050994217,0.21532774,0.018030068,0.14358583,-4.616739,-4.2878194,-0.7531208,-0.6386299,-4.800691,-4.372263,-0.04172466,0.04623905,-4.6684065,-4.5282035,-0.7165747,-0.6655805,-4.7363324,-4.5210047
2,0.12674995,0.36848545,0.12594455,0.38149738,0.13931778,0.49032068,0.18528777,0.4632635,-0.034200422,0.092549525,-4.553455,-4.1849694,-0.6607612,-0.5348166,-4.644326,-4.262829,-0.052003548,0.08731424,-4.6738977,-4.183577,-0.72286814,-0.5375804,-4.723057,-4.2597933
3,0.11064556,0.37665272,0.098716915,0.3256116,0.06347997,0.15920019,0.057799518,0.2416668,-0.04617499,0.064470574,-4.7124124,-4.3357596,-0.7373208,-0.63860387,-4.6810575,-4.355446,-0.031569608,0.03191036,-4.687992,-4.528792,-0.71981543,-0.6620159,-4.729243,-4.487576
4,0.10830522,0.30882597,0.09888291,0.4201188,0.09952462,0.1707139,0.056058288,0.37564182,-0.05030606,0.057999164,-4.6849294,-4.3761034,-0.7528057,-0.6539228,-4.7755604,-4.3554416,-0.054767534,0.044757083,-4.6871195,-4.5164056,-0.7217743,-0.665716,-4.7827444,-4.4071026
5,0.12430045,0.31900597,0.1012516,0.33690357,0.0684503,0.14260435,0.040039003,0.16176319,-0.07153991,0.052760545,-4.674697,-4.355691,-0.7424178,-0.6411662,-4.5793815,-4.242478,-0.03285929,0.035591017,-4.679716,-4.5371118,-0.7124275,-0.6723885,-4.685191,-4.523428
6,0.11669835,0.3997569,0.09672719,0.3850026,0.08470999,0.18452692,0.060803294,0.20367193,0.0036388095,0.12033716,-4.7073703,-4.3076134,-0.74940056,-0.65267336,-4.676727,-4.291724,-0.041150004,0.043559987,-4.694429,-4.509902,-0.7245651,-0.6637618,-4.694123,-4.490451
7,0.12412909,0.3590355,0.08960694,0.33813286,0.07141242,0.24393845,0.062924564,0.17671967,-0.061222687,0.0629064,-4.619257,-4.2602215,-0.75815755,-0.6685506,-4.7309127,-4.39278,-0.03835298,0.03305944,-4.7178354,-4.473897,-0.727569,-0.6646444,-4.6988125,-4.522093
8,0.10939391,0.34542084,0.10432041,0.35376453,0.08225027,0.14125729,0.04669237,0.18095636,-0.07369643,0.035697486,-4.6680765,-4.3226557,-0.7901854,-0.685865,-4.654039,-4.3002744,-0.04224012,0.04001015,-4.6757393,-4.534482,-0.7175039,-0.67081153,-4.6886253,-4.507669
9,0.10958335,0.32935524,0.09045893,0.34926558,0.0670775,0.10296011,0.050416946,0.24210072,-0.03398005,0.0756033,-4.6849904,-4.355635,-0.73686594,-0.646407,-4.689064,-4.3397985,-0.03356288,0.033514626,-4.663213,-4.5602527,-0.7206554,-0.67023844,-4.7127504,-4.4706497
