Experiment_Index,train_time,refined_time,bias,refined_bias,accp_rate
0,00:15:13,00:16:28,0.19132029,0.008891964,0.153728
1,00:14:45,00:16:29,0.09620863,0.0100381235,0.062976
2,00:13:50,00:16:42,0.1548226,0.007000923,0.132648
3,00:13:49,00:16:39,0.25774363,0.052191123,0.099976
4,00:14:08,00:19:10,0.0728281,0.019364785,0.101736
5,00:14:27,00:16:29,0.1528743,0.0098838275,0.13708
6,00:13:52,00:16:32,0.23415554,0.03144138,0.145112
7,00:14:13,00:16:27,0.07887936,0.0074626813,0.0864
8,00:14:53,00:16:20,0.14270104,0.028759226,0.10504
9,00:15:40,00:16:27,0.08739865,0.0055825952,0.083592
