Experiment_Index,ci_lengths_1,ci_lengths_2,ci_lengths_3,ci_lengths_4,ci_lengths_refined_1,ci_lengths_refined_2,ci_lengths_refined_3,ci_lengths_refined_4,low_Y0_1,high_Y0_1,low_Y0_2,high_Y0_2,low_Y0_3,high_Y0_3,low_Y0_4,high_Y0_4,low_Y0_refined_1,high_Y0_refined_1,low_Y0_refined_2,high_Y0_refined_2,low_Y0_refined_3,high_Y0_refined_3,low_Y0_refined_4,high_Y0_refined_4
0,0.28748536,0.32844353,0.36111093,0.21185827,0.18441471,0.27346897,0.24323004,0.39992714,-0.20212087,0.08536448,-4.5877767,-4.259333,-0.9476154,-0.58650446,-4.822376,-4.6105175,-0.118510455,0.06590425,-4.729439,-4.45597,-0.8920961,-0.64886606,-4.842418,-4.442491
1,0.35782933,0.28526163,0.37408203,0.35426474,0.21715307,0.20923471,0.2739671,0.3079791,-0.25047904,0.107350275,-4.7327886,-4.447527,-0.9329459,-0.5588639,-4.7604356,-4.406171,-0.116663486,0.10048958,-4.7065644,-4.4973297,-0.9219711,-0.648004,-4.780508,-4.472529
2,0.4181049,0.28684855,0.2923278,0.30091,0.16463995,0.18468237,0.07309747,0.39574766,-0.37859556,0.03950932,-4.87104,-4.5841913,-0.76090074,-0.46857294,-4.680997,-4.380087,-0.07256768,0.09207226,-4.7077174,-4.523035,-0.7263289,-0.65323144,-4.8001523,-4.4044046
3,0.2736045,0.28277445,0.35164833,0.2229824,0.20463559,0.2456708,0.13095504,0.29147863,-0.09451489,0.17908962,-4.8456874,-4.562913,-0.86756265,-0.5159143,-4.847361,-4.6243787,-0.09846137,0.10617423,-4.7396603,-4.4939895,-0.75994223,-0.6289872,-4.75113,-4.4596515
4,0.22006267,0.2957306,0.20955157,0.29884338,0.13763893,0.19016075,0.18657285,0.25189638,-0.1600827,0.059979968,-4.840889,-4.5451584,-0.87538743,-0.66583586,-4.7710986,-4.472255,-0.093714535,0.0439244,-4.7470055,-4.5568447,-0.8589573,-0.67238444,-4.7406445,-4.488748
5,0.30009913,0.26963854,0.20329803,0.32497358,0.15872267,0.17302322,0.06921089,0.36432648,-0.09496799,0.20513114,-4.838371,-4.5687323,-0.7992306,-0.59593254,-4.6886225,-4.363649,-0.0789552,0.079767466,-4.6842947,-4.5112715,-0.7253414,-0.6561305,-4.785645,-4.4213185
6,0.34458435,0.23015928,0.28552914,0.24647903,0.09639117,0.23157883,0.06830764,0.1893506,-0.18480885,0.1597755,-4.765821,-4.5356617,-0.8875173,-0.60198814,-4.78011,-4.533631,-0.047235887,0.049155284,-4.731524,-4.499945,-0.72802854,-0.6597209,-4.706869,-4.5175185
7,0.25503135,0.3263049,0.346856,0.29835796,0.15335764,0.20568848,0.09057963,0.315495,-0.11600487,0.13902648,-4.824699,-4.498394,-0.78195125,-0.43509525,-4.6436367,-4.3452787,-0.079660445,0.073697194,-4.707984,-4.5022955,-0.7338654,-0.64328575,-4.7567873,-4.4412923
8,0.22912681,0.31129074,0.3101859,0.23222923,0.08508838,0.14122915,0.25647354,0.24806881,-0.08944424,0.13968256,-4.7616234,-4.4503326,-0.9290521,-0.6188662,-4.7298956,-4.4976664,-0.04202234,0.04306604,-4.6713486,-4.5301194,-0.9299687,-0.6734952,-4.7586527,-4.510584
9,0.25649846,0.29246092,0.33150578,0.2492199,0.19002187,0.17862701,0.08895433,0.23744726,-0.017388359,0.2391101,-4.6271396,-4.3346786,-0.9002263,-0.5687205,-4.767938,-4.5187182,-0.078638,0.11138387,-4.6790195,-4.5003924,-0.7405471,-0.6515928,-4.7190514,-4.481604
