Experiment_Index,train_time,refined_time,bias,refined_bias,accp_rate
0,00:13:08,00:16:36,0.21807133,0.02741501,0.198472
1,00:12:53,00:16:36,0.09759745,0.0142761255,0.141976
2,00:12:48,00:16:26,0.22641492,0.010834455,0.154464
3,00:13:34,00:16:50,0.14679912,0.005872659,0.151304
4,00:15:08,00:16:26,0.12086679,0.013506233,0.063272
5,00:13:33,00:16:31,0.1459636,0.013290831,0.15912
6,00:13:42,00:16:51,0.080100216,0.008660491,0.064104
7,00:14:59,00:16:17,0.14840128,0.005737396,0.115296
8,00:15:03,00:16:35,0.06273514,0.015496909,0.046176
9,00:13:50,00:16:36,0.17154981,0.017679365,0.123448
