Experiment_Index,ci_length_1,ci_length_2,ci_length_refined_1,ci_length_refined_2,low_Y0_1,high_Y0_1,low_Y0_2,high_Y0_2,low_Y0_refined_1,high_Y0_refined_1,low_Y0_refined_2,high_Y0_refined_2
0,0.034467578,0.046533182,0.054112047,0.056338273,0.4580812,0.49254876,0.2163751,0.26290828,0.37435994,0.42847198,0.12023019,0.17656846
1,0.041813165,0.03766401,0.05101815,0.057936206,0.4509783,0.49279147,0.222733,0.26039702,0.37740305,0.4284212,0.1218521,0.1797883
2,0.034675717,0.040713653,0.050756216,0.05144289,0.4640725,0.4987482,0.22277953,0.26349318,0.3714115,0.42216772,0.12054886,0.17199175
3,0.04127428,0.042993367,0.051022768,0.05875054,0.47108844,0.5123627,0.22821146,0.27120483,0.3768658,0.42788857,0.12026104,0.17901158
4,0.04339981,0.04272969,0.047691524,0.049783707,0.45319507,0.49659488,0.21590741,0.2586371,0.38082257,0.4285141,0.12718862,0.17697233
5,0.042913318,0.044204086,0.04113564,0.046767347,0.44202554,0.48493886,0.20365605,0.24786013,0.37827677,0.4194124,0.12460128,0.17136863
6,0.037103295,0.04316391,0.04538089,0.047416955,0.44785878,0.48496208,0.2128535,0.25601742,0.37835756,0.42373845,0.12579088,0.17320783
7,0.03310722,0.041638568,0.04999301,0.051550195,0.46834648,0.5014537,0.21881954,0.2604581,0.37939918,0.4293922,0.12654778,0.17809798
8,0.0463368,0.045028523,0.04865086,0.05538161,0.45476732,0.5011041,0.22081862,0.26584715,0.3792504,0.42790127,0.12219858,0.1775802
9,0.043094456,0.04176934,0.048139483,0.05228907,0.46227145,0.5053659,0.22619687,0.2679662,0.37610587,0.42424536,0.12094782,0.17323689
