Experiment_Index,train_time,refined_time,bias,refined_bias,bias_1,bias_2,refined_bias_1,refined_bias_2,mcmc_accp_rate
0,00:08:05,00:03:12,0.11798015,0.0033938105,0.075659096,0.09052634,0.003385067,0.00024345517,0.06539
1,00:07:07,00:03:14,0.11874462,0.0057204533,0.07478303,0.09223765,0.0046242774,0.003367439,0.04837
2,00:07:20,00:03:54,0.12696189,0.001320206,0.083713055,0.09545389,0.0009614527,0.0009047389,0.05622
3,00:07:00,00:03:14,0.13847117,0.006100048,0.09432492,0.10137591,0.0047697127,0.003802687,0.05499
4,00:07:08,00:03:15,0.116196446,0.0059269876,0.07635507,0.08758721,0.005129844,0.002968818,0.04766
5,00:07:27,00:03:14,0.10109,0.0012369668,0.06706464,0.07564074,0.00122118,0.00019699335,0.04354
6,00:07:56,00:03:15,0.10667873,0.0017524624,0.06937918,0.0810363,0.0017116964,0.00037579238,0.04186
7,00:06:29,00:03:14,0.12564518,0.0057850424,0.08563399,0.09194307,0.0049438477,0.0030041784,0.06601
8,00:07:33,00:03:54,0.12106013,0.006853211,0.077714354,0.0928226,0.005148679,0.004523009,0.0505
9,00:06:35,00:03:54,0.12727077,0.002012904,0.08412182,0.09550586,0.0012911856,0.0015442222,0.05972
